,City,Latitude,Longitude,Temperature
0,porto,41.1579,-8.6291,22
1,funchal,32.6669,-16.9241,24
2,evora,38.5714,-7.9135,27
3,braga,41.5454,-8.4265,27
4,amadora,38.7578,-9.2245,24
5,castelo-branco,39.8197,-7.4965,29
6,leiria,39.7495,-8.8077,22
7,montemor-o-novo,38.6473,-8.2123,27
8,portalegre,39.2967,-7.4285,28
9,queluz,38.7574,-9.2587,21
10,setubal,38.5260,-8.8909,24
11,vila-real,41.3010,-7.7422,28
12,amora,38.6201,-9.1345,24
13,braganca,41.8061,-6.7567,26
14,coimbra,40.2033,-8.4103,28
15,guarda,40.5308,-7.2221,24
16,lisboa,38.7223,-9.1393,24
17,ponta-delgada,37.7394,-25.6687,25
18,portimao,37.1362,-8.5377,25
19,santarem,39.2367,-8.6860,28
20,viana-do-castelo,41.6918,-8.8345,22
21,viseu,40.6566,-7.9125,26
22,aveiro,40.6405,-8.6538,23
23,cacem,38.7680,-9.2988,21
24,faro,37.0194,-7.9304,26
25,guimaraes,41.4425,-8.2918,26
26,monsanto,40.0389,-7.1151,25
27,ponte-de-lima,41.7647,-8.5827,27
28,vila-nova-de-gaia,41.1239,-8.6118,22
